pipeline_name,state_name,label_space,group_id,k,units_total,duplicate_units,excess_duplicates_total,synergies_total,units_nsyn_gt_k,duplicate_pairs_total,within_unit_pairs_total,scope,duplicate_unit_rate,excess_duplicate_ratio,duplicate_pair_rate,units_nsyn_gt_k_rate,gap_statistic,gap_sd,objective_sse,point_to_centroid_sq_sum,point_to_centroid_sum,selected_k_flag,selection_rule,algorithm_used
production,state2_production_pre_forced,raw_group_label,global_nonstep,11,72,5,5,260,0,5,361,group,0.06944444444444445,0.019230769230769232,0.013850415512465374,0.0,NaN,NaN,62.53001167717526,62.53001172956001,123.82386899065122,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state2_production_pre_forced,raw_group_label,global_nonstep,12,72,3,3,260,0,3,361,group,0.041666666666666664,0.011538461538461539,0.008310249307479225,0.0,NaN,NaN,60.922612866522314,60.92261268643258,122.0606712348832,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state3_production_post_forced,raw_group_label,global_nonstep,5,72,0,0,260,0,0,361,group,0.0,0.0,0.0,0.0,NaN,NaN,85.72586268314589,86.20955978408293,144.82216618508295,true,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state3_production_post_forced,raw_group_label,global_nonstep,6,72,0,0,260,0,0,361,group,0.0,0.0,0.0,0.0,NaN,NaN,80.50138222975973,81.02696047033977,140.4830014745316,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state3_production_post_forced,raw_group_label,global_nonstep,7,72,0,0,260,0,0,361,group,0.0,0.0,0.0,0.0,NaN,NaN,76.37394004109721,76.96698030064005,137.04912604418948,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state3_production_post_forced,raw_group_label,global_nonstep,8,72,0,0,260,0,0,361,group,0.0,0.0,0.0,0.0,NaN,NaN,73.36770779639171,74.12262420548011,134.24024457298557,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state3_production_post_forced,raw_group_label,global_nonstep,9,72,0,0,260,0,0,361,group,0.0,0.0,0.0,0.0,NaN,NaN,68.70122717382421,68.79232083869354,129.76002181996049,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state3_production_post_forced,raw_group_label,global_nonstep,10,72,0,0,260,0,0,361,group,0.0,0.0,0.0,0.0,NaN,NaN,66.62706856335879,67.02833543894292,128.08266292838098,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state3_production_post_forced,raw_group_label,global_nonstep,11,72,0,0,260,0,0,361,group,0.0,0.0,0.0,0.0,NaN,NaN,62.73362778698409,62.842096601008414,124.08460422631713,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state3_production_post_forced,raw_group_label,global_nonstep,12,72,0,0,260,0,0,361,group,0.0,0.0,0.0,0.0,NaN,NaN,61.12562415361877,61.25584656349681,122.3168804456747,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state2_production_pre_forced,raw_group_label,global_step,7,53,17,22,226,0,23,400,group,0.32075471698113206,0.09734513274336283,0.0575,0.0,NaN,NaN,65.49844048452478,65.49844068293656,118.0464184702849,true,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state2_production_pre_forced,raw_group_label,global_step,8,53,13,15,226,0,16,400,group,0.24528301886792453,0.06637168141592921,0.04,0.0,NaN,NaN,61.15032419428464,61.150324324540875,113.9600348701798,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state2_production_pre_forced,raw_group_label,global_step,9,53,4,4,226,0,4,400,group,0.07547169811320754,0.017699115044247787,0.01,0.0,NaN,NaN,57.71854015879295,57.71854040504288,110.6922987155111,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state2_production_pre_forced,raw_group_label,global_step,10,53,4,4,226,0,4,400,group,0.07547169811320754,0.017699115044247787,0.01,0.0,NaN,NaN,54.577951355708045,54.57795133998549,107.72083036083518,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state2_production_pre_forced,raw_group_label,global_step,11,53,3,3,226,0,3,400,group,0.05660377358490566,0.01327433628318584,0.0075,0.0,NaN,NaN,51.50467697766396,51.50467717476657,105.03379588773396,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state2_production_pre_forced,raw_group_label,global_step,12,53,4,4,226,0,4,400,group,0.07547169811320754,0.017699115044247787,0.01,0.0,NaN,NaN,49.54660791026595,49.54660793465075,102.86273291211013,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state3_production_post_forced,raw_group_label,global_step,7,53,0,0,226,0,0,400,group,0.0,0.0,0.0,0.0,NaN,NaN,71.03271939783158,72.89181323601773,122.68798054579878,true,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state3_production_post_forced,raw_group_label,global_step,8,53,0,0,226,0,0,400,group,0.0,0.0,0.0,0.0,NaN,NaN,64.37688792650506,65.4548943054153,116.75895380770605,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state3_production_post_forced,raw_group_label,global_step,9,53,0,0,226,0,0,400,group,0.0,0.0,0.0,0.0,NaN,NaN,58.094016250059,58.276700013901085,111.07019382049103,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state3_production_post_forced,raw_group_label,global_step,10,53,0,0,226,0,0,400,group,0.0,0.0,0.0,0.0,NaN,NaN,54.76765946019649,54.939779778650305,107.96152282654283,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state3_production_post_forced,raw_group_label,global_step,11,53,0,0,226,0,0,400,group,0.0,0.0,0.0,0.0,NaN,NaN,51.77140090050199,51.904087025738576,105.3229261315458,false,production_first_zero_duplicate_post_force,sklearn_kmeans
production,state3_production_post_forced,raw_group_label,global_step,12,53,0,0,226,0,0,400,group,0.0,0.0,0.0,0.0,NaN,NaN,49.820024073867636,50.129417518574996,103.2531104343098,false,production_first_zero_duplicate_post_force,sklearn_kmeans
